PanelID,Expenditure,Income,HHSize,IPT,Quantity,Brand 1,Brand 2,Brand 3,Brand 4,Feature 1,Feature 2,Feature 3,Feature 4,Price 1,Price 2,Price 3,Price 4
1,40.900002,9,2,5,2,0,0,0,1,0,0,0,0,0.108,0.081,0.061000001,0.079000004
1,16.809999,9,2,5,2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.064000003,0.075000003
1,4.0599999,9,2,1,2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003
1,34.459999,9,2,4,2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003
1,8.3900003,9,2,7,2,0,1,0,0,0,0,0,0,0.125,0.097999997,0.048999999,0.079000004
1,60.990002,9,2,3,2,0,1,0,0,0,0,0,0,0.108,0.092,0.050000001,0.079000004
1,20.790001,9,2,4,1,0,1,0,0,0,0,0,0,0.103,0.081,0.048999999,0.079000004
1,33.950001,9,2,8,2,0,0,0,1,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004
2,3.6900001,7,2,5,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
2,50.93,7,2,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
2,18.35,7,2,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
2,31.91,7,2,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004
2,25.27,7,2,2,6,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003
2,35.700001,7,2,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003
2,30.65,7,2,4,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,58.259998,7,2,2,8,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,24.459999,7,2,3,8,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,46.73,7,2,7,6,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,24.43,7,2,3,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,16.49,7,2,1,4,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081
2,4.2600002,7,2,1,4,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,67.230003,7,2,3,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,15.14,7,2,1,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004
2,27.440001,7,2,5,7,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081
2,5.9400001,7,2,4,1,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004
2,29.870001,7,2,3,1,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004
2,39.169998,7,2,2,1,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004
2,30.040001,7,2,1,14,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081
3,13.24,1,1,5,2,0,1,0,0,0,0,0,0,0.11,0.048999999,0.061000001,0.079000004
3,12.6,1,1,6,1,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004
3,2.8900001,1,1,1,1,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004
3,9.5299997,1,1,2,1,1,0,0,0,0,0,0,0,0.032000002,0.094999999,0.057999998,0.103
3,4.5,1,1,2,1,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103
3,15.48,1,1,4,1,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103
3,10.91,1,1,4,2,1,0,0,0,0,0,0,0,0.055,0.086000003,0.054000001,0.079000004
3,15.7,1,1,6,2,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004
3,12.83,1,1,3,2,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004
3,12.64,1,1,4,1,1,0,0,0,0,0,0,1,0.115,0.086000003,0.056000002,0.063000001
3,3.9200001,1,1,3,1,1,0,0,0,0,0,0,1,0.032000002,0.086000003,0.056000002,0.063000001
3,12.04,1,1,3,2,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.063000001
3,14.58,1,1,7,2,0,1,0,0,0,0,0,0,0.115,0.055,0.061000001,0.064000003
